X,Y,Z
-44.6026,-140.6297,-23.2587
-44.5441,-140.8339,-23.2587
-44.4757,-141.0196,-23.2587
-44.3976,-141.2052,-23.2587
-44.3391,-141.3909,-23.2587
-44.2805,-141.5951,-23.2587
-44.2024,-141.7807,-23.2587
-44.1341,-141.9664,-23.2587
-44.056,-142.152,-23.2587
-43.9779,-142.3562,-23.2587
-43.9096,-142.5419,-23.2587
-43.8315,-142.7275,-23.3587
-43.7534,-142.9131,-23.3587
-43.6753,-143.1173,-23.3588
-43.5972,-143.303,-23.3588
-43.5191,-143.4886,-23.3588
-43.441,-143.6743,-23.3588
-43.3727,-143.8413,-23.3588
-43.2848,-144.0456,-23.3588
-43.2068,-144.2312,-23.3588
-43.1287,-144.4168,-23.3588
-43.0408,-144.6025,-23.3588
-42.9627,-144.7881,-23.3588
-42.8749,-144.9552,-23.3588
-42.7968,-145.1594,-23.3588
-42.7089,-145.3265,-23.3588
-42.6406,-145.5121,-23.3588
-42.582,-145.7163,-23.3588
-42.5137,-145.902,-23.4588
-42.4551,-146.0876,-23.4588
-42.3966,-146.2918,-23.4588
-42.338,-146.4775,-23.4588
-42.2892,-146.6817,-23.4588
-42.2306,-146.8673,-23.4588
-42.1818,-147.053,-23.4588
-42.133,-147.2572,-23.4588
-42.094,-147.4614,-23.5588
-42.0549,-147.647,-23.5588
-42.0159,-147.8512,-23.5589
-41.9768,-148.0369,-23.5589
-41.9476,-148.2411,-23.5589
-41.8988,-148.4453,-23.5589
-41.8499,-148.6495,-23.5589
-41.8109,-148.8351,-23.5589
-41.7621,-149.0393,-23.5589
-41.7231,-149.225,-23.5589
-41.6742,-149.4477,-23.5589
-41.6254,-149.6334,-23.5589
-41.5766,-149.8376,-23.5589
-41.5181,-150.0232,-23.5589
-41.44,-150.2089,-23.6589
-41.3619,-150.3945,-23.5589
-41.2838,-150.5801,-23.6589
-41.1862,-150.7472,-23.6589
-41.0788,-150.9143,-23.6589
-40.9519,-151.0628,-23.6589
-40.825,-151.2299,-23.6589
-40.6883,-151.3784,-23.6589
-40.5517,-151.5084,-23.6589
-40.4053,-151.6383,-23.6589
-40.2686,-151.7683,-23.6589
-40.1417,-151.9168,-23.6589
-39.9953,-152.0653,-23.6589
-39.8684,-152.1952,-23.6589
-39.7317,-152.3438,-23.6589
-39.5853,-152.4551,-23.7589
-39.4194,-152.548,-23.7589
-39.2632,-152.6408,-23.7589
-39.1167,-152.7893,-23.7589
-38.9898,-152.9378,-23.759
-38.8825,-153.0863,-23.759
-38.7849,-153.2534,-23.759
-38.697,-153.4205,-23.759
-38.6189,-153.6061,-23.759
-38.5603,-153.7732,-23.759
